'TREATMENT'	'TRACT'	'DATE'	'COUNTS'
'BURNED'	15	'Jul-93'	23
'BURNED'	16	'Jul-93'	29
'BURNED'	17	'Jul-93'	54
'BURNED'	18	'Jul-93'	29
'BURNED'	19	'Jul-93'	37
'BURNED'	20	'Jul-93'	39
'CONTROL'	1	'Jul-93'	0
'CONTROL'	2	'Jul-93'	46
'CONTROL'	3	'Jul-93'	59
'CONTROL'	4	'Jul-93'	53
'CONTROL'	5	'Jul-93'	55
'CONTROL'	6	'Jul-93'	48
'CONTROL'	7	'Jul-93'	42
'CONTROL'	8	'Jul-93'	51
'CONTROL'	9	'Jul-93'	52
'CONTROL'	10	'Jul-93'	49
'CONTROL'	11	'Jul-93'	31
'CONTROL'	12	'Jul-93'	58
'CONTROL'	13	'Jul-93'	43
'CONTROL'	14	'Jul-93'	50
'CONTROL'	15	'Jul-93'	40
'CONTROL'	16	'Jul-93'	23
'CONTROL'	17	'Jul-93'	45
'CONTROL'	18	'Jul-93'	52
'CONTROL'	19	'Jul-93'	8
'CONTROL'	20	'Jul-93'	0
'BURNED'	1	'Oct-93'	18
'BURNED'	2	'Oct-93'	10
'BURNED'	3	'Oct-93'	26
'BURNED'	4	'Oct-93'	42
'BURNED'	5	'Oct-93'	22
'BURNED'	6	'Oct-93'	13
'BURNED'	7	'Oct-93'	33
'BURNED'	8	'Oct-93'	33
'BURNED'	9	'Oct-93'	25
'BURNED'	10	'Oct-93'	21
'BURNED'	11	'Oct-93'	31
'BURNED'	12	'Oct-93'	39
'BURNED'	13	'Oct-93'	34
'BURNED'	14	'Oct-93'	35
'BURNED'	15	'Oct-93'	19
'BURNED'	16	'Oct-93'	24
'BURNED'	17	'Oct-93'	56
'BURNED'	18	'Oct-93'	23
'BURNED'	19	'Oct-93'	29
'BURNED'	20	'Oct-93'	39
'CONTROL'	1	'Oct-93'	0
'CONTROL'	2	'Oct-93'	49
'CONTROL'	3	'Oct-93'	59
'CONTROL'	4	'Oct-93'	52
'CONTROL'	5	'Oct-93'	59
'CONTROL'	6	'Oct-93'	50
'CONTROL'	7	'Oct-93'	50
'CONTROL'	8	'Oct-93'	53
'CONTROL'	9	'Oct-93'	54
'CONTROL'	10	'Oct-93'	50
'CONTROL'	11	'Oct-93'	39
'CONTROL'	12	'Oct-93'	60
'CONTROL'	13	'Oct-93'	43
'CONTROL'	14	'Oct-93'	60
'CONTROL'	15	'Oct-93'	47
'CONTROL'	16	'Oct-93'	27
'CONTROL'	17	'Oct-93'	42
'CONTROL'	18	'Oct-93'	55
'CONTROL'	19	'Oct-93'	7
'CONTROL'	20	'Oct-93'	0
'BURNED'	1	'Jan-94'	21
'BURNED'	2	'Jan-94'	12
'BURNED'	3	'Jan-94'	25
'BURNED'	4	'Jan-94'	38
'BURNED'	5	'Jan-94'	27
'BURNED'	6	'Jan-94'	20
'BURNED'	7	'Jan-94'	31
'BURNED'	8	'Jan-94'	38
'BURNED'	9	'Jan-94'	30
'BURNED'	10	'Jan-94'	24
'BURNED'	11	'Jan-94'	30
'BURNED'	12	'Jan-94'	35
'BURNED'	13	'Jan-94'	45
'BURNED'	14	'Jan-94'	42
'BURNED'	15	'Jan-94'	18
'BURNED'	16	'Jan-94'	24
'BURNED'	17	'Jan-94'	60
'BURNED'	18	'Jan-94'	39
'BURNED'	19	'Jan-94'	32
'BURNED'	20	'Jan-94'	48
'CONTROL'	1	'Jan-94'	1
'CONTROL'	2	'Jan-94'	51
'CONTROL'	3	'Jan-94'	60
'CONTROL'	4	'Jan-94'	53
'CONTROL'	5	'Jan-94'	60
'CONTROL'	6	'Jan-94'	48
'CONTROL'	7	'Jan-94'	55
'CONTROL'	8	'Jan-94'	57
'CONTROL'	9	'Jan-94'	59
'CONTROL'	10	'Jan-94'	54
'CONTROL'	11	'Jan-94'	47
'CONTROL'	12	'Jan-94'	60
'CONTROL'	13	'Jan-94'	47
'CONTROL'	14	'Jan-94'	60
'CONTROL'	15	'Jan-94'	49
'CONTROL'	16	'Jan-94'	31
'CONTROL'	17	'Jan-94'	44
'CONTROL'	18	'Jan-94'	53
'CONTROL'	19	'Jan-94'	12
'CONTROL'	20	'Jan-94'	1
'BURNED'	1	'Apr-94'	26
'BURNED'	2	'Apr-94'	10
'BURNED'	3	'Apr-94'	15
'BURNED'	4	'Apr-94'	34
'BURNED'	5	'Apr-94'	24
'BURNED'	6	'Apr-94'	16
'BURNED'	7	'Apr-94'	32
'BURNED'	8	'Apr-94'	39
'BURNED'	9	'Apr-94'	28
'BURNED'	10	'Apr-94'	24
'BURNED'	11	'Apr-94'	32
'BURNED'	12	'Apr-94'	35
'BURNED'	13	'Apr-94'	41
'BURNED'	14	'Apr-94'	35
'BURNED'	15	'Apr-94'	21
'BURNED'	16	'Apr-94'	20
'BURNED'	17	'Apr-94'	51
'BURNED'	18	'Apr-94'	31
'BURNED'	19	'Apr-94'	28
'BURNED'	20	'Apr-94'	36
'CONTROL'	1	'Apr-94'	0
'CONTROL'	2	'Apr-94'	48
'CONTROL'	3	'Apr-94'	58
'CONTROL'	4	'Apr-94'	53
'CONTROL'	5	'Apr-94'	54
'CONTROL'	6	'Apr-94'	43
'CONTROL'	7	'Apr-94'	41
'CONTROL'	8	'Apr-94'	53
'CONTROL'	9	'Apr-94'	57
'CONTROL'	10	'Apr-94'	51
'CONTROL'	11	'Apr-94'	24
'CONTROL'	12	'Apr-94'	54
'CONTROL'	13	'Apr-94'	39
'CONTROL'	14	'Apr-94'	54
'CONTROL'	15	'Apr-94'	43
'CONTROL'	16	'Apr-94'	17
'CONTROL'	17	'Apr-94'	41
'CONTROL'	18	'Apr-94'	45
'CONTROL'	19	'Apr-94'	6
'CONTROL'	20	'Apr-94'	0
'BURNED'	1	'Jul-94'	22
'BURNED'	2	'Jul-94'	11
'BURNED'	3	'Jul-94'	10
'BURNED'	4	'Jul-94'	26
'BURNED'	5	'Jul-94'	16
'BURNED'	6	'Jul-94'	13
'BURNED'	7	'Jul-94'	30
'BURNED'	8	'Jul-94'	35
'BURNED'	9	'Jul-94'	21
'BURNED'	10	'Jul-94'	19
'BURNED'	11	'Jul-94'	30
'BURNED'	12	'Jul-94'	36
'BURNED'	13	'Jul-94'	28
'BURNED'	14	'Jul-94'	32
'BURNED'	15	'Jul-94'	13
'BURNED'	16	'Jul-94'	16
'BURNED'	17	'Jul-94'	52
'BURNED'	18	'Jul-94'	24
'BURNED'	19	'Jul-94'	14
'BURNED'	20	'Jul-94'	34
'CONTROL'	1	'Jul-94'	0
'CONTROL'	2	'Jul-94'	43
'CONTROL'	3	'Jul-94'	53
'CONTROL'	4	'Jul-94'	53
'CONTROL'	5	'Jul-94'	47
'CONTROL'	6	'Jul-94'	37
'CONTROL'	7	'Jul-94'	40
'CONTROL'	8	'Jul-94'	38
'CONTROL'	9	'Jul-94'	55
'CONTROL'	10	'Jul-94'	44
'CONTROL'	11	'Jul-94'	22
'CONTROL'	12	'Jul-94'	51
'CONTROL'	13	'Jul-94'	36
'CONTROL'	14	'Jul-94'	52
'CONTROL'	15	'Jul-94'	41
'CONTROL'	16	'Jul-94'	19
'CONTROL'	17	'Jul-94'	33
'CONTROL'	18	'Jul-94'	42
'CONTROL'	19	'Jul-94'	5
'CONTROL'	20	'Jul-94'	0
'BURNED'	1	'Oct-94'	20
'BURNED'	2	'Oct-94'	12
'BURNED'	3	'Oct-94'	14
'BURNED'	4	'Oct-94'	26
'BURNED'	5	'Oct-94'	18
'BURNED'	6	'Oct-94'	10
'BURNED'	7	'Oct-94'	25
'BURNED'	8	'Oct-94'	32
'BURNED'	9	'Oct-94'	17
'BURNED'	10	'Oct-94'	17
'BURNED'	11	'Oct-94'	25
'BURNED'	12	'Oct-94'	30
'BURNED'	13	'Oct-94'	31
'BURNED'	14	'Oct-94'	27
'BURNED'	15	'Oct-94'	11
'BURNED'	16	'Oct-94'	18
'BURNED'	17	'Oct-94'	49
'BURNED'	18	'Oct-94'	26
'BURNED'	19	'Oct-94'	13
'BURNED'	20	'Oct-94'	30
'CONTROL'	1	'Oct-94'	0
'CONTROL'	2	'Oct-94'	40
'CONTROL'	3	'Oct-94'	55
'CONTROL'	4	'Oct-94'	52
'CONTROL'	5	'Oct-94'	54
'CONTROL'	6	'Oct-94'	38
'CONTROL'	7	'Oct-94'	44
'CONTROL'	8	'Oct-94'	43
'CONTROL'	9	'Oct-94'	57
'CONTROL'	10	'Oct-94'	39
'CONTROL'	11	'Oct-94'	33
'CONTROL'	12	'Oct-94'	48
'CONTROL'	13	'Oct-94'	49
'CONTROL'	14	'Oct-94'	57
'CONTROL'	15	'Oct-94'	48
'CONTROL'	16	'Oct-94'	24
'CONTROL'	17	'Oct-94'	31
'CONTROL'	18	'Oct-94'	35
'CONTROL'	19	'Oct-94'	8
'CONTROL'	20	'Oct-94'	0
'BURNED'	1	'Jan-95'	27
'BURNED'	2	'Jan-95'	9
'BURNED'	3	'Jan-95'	17
'BURNED'	4	'Jan-95'	25
'BURNED'	5	'Jan-95'	23
'BURNED'	6	'Jan-95'	14
'BURNED'	7	'Jan-95'	31
'BURNED'	8	'Jan-95'	38
'BURNED'	9	'Jan-95'	19
'BURNED'	10	'Jan-95'	22
'BURNED'	11	'Jan-95'	34
'BURNED'	12	'Jan-95'	27
'BURNED'	13	'Jan-95'	31
'BURNED'	14	'Jan-95'	29
'BURNED'	15	'Jan-95'	19
'BURNED'	16	'Jan-95'	24
'BURNED'	17	'Jan-95'	52
'BURNED'	18	'Jan-95'	34
'BURNED'	19	'Jan-95'	24
'BURNED'	20	'Jan-95'	34
'CONTROL'	1	'Jan-95'	0
'CONTROL'	2	'Jan-95'	40
'CONTROL'	3	'Jan-95'	58
'CONTROL'	4	'Jan-95'	54
'CONTROL'	5	'Jan-95'	53
'CONTROL'	6	'Jan-95'	38
'CONTROL'	7	'Jan-95'	45
'CONTROL'	8	'Jan-95'	36
'CONTROL'	9	'Jan-95'	39
'CONTROL'	10	'Jan-95'	41
'CONTROL'	11	'Jan-95'	35
'CONTROL'	12	'Jan-95'	51
'CONTROL'	13	'Jan-95'	56
'CONTROL'	14	'Jan-95'	57
'CONTROL'	15	'Jan-95'	52
'CONTROL'	16	'Jan-95'	29
'CONTROL'	17	'Jan-95'	42
'CONTROL'	18	'Jan-95'	51
'CONTROL'	19	'Jan-95'	10
'CONTROL'	20	'Jan-95'	0
