'CCl _4'	'CHCl _3'	'Time'	'LKHleakage'
2.5	10	0.25	0.19
2.5	25	0.25	0.21
2.5	25	0.25	0.15
5	0	0.25	0.45
5	0	0.25	0.42
5	5	0.25	0.2
5	5	0.25	0.17
5	10	0.25	0.25
5	10	0.25	0.12
5	25	0.25	0.23
5	25	0.25	0.12
0	0	0.5	0.08
0	0	0.5	0.09
0	5	0.5	0.12
0	5	0.5	0.18
0	10	0.5	0.36
0	10	0.5	0.27
0	25	0.5	0.51
0	25	0.5	0.39
1	0	0.5	0.09
1	0	0.5	0.14
1	5	0.5	0.37
1	5	0.5	0.22
1	10	0.5	0.61
1	10	0.5	0.3
1	25	0.5	0.39
1	25	0.5	0.4
2.5	0	0.5	0.56
2.5	0	0.5	0.21
2.5	5	0.5	0.57
2.5	5	0.5	0.28
2.5	10	0.5	0.33
2.5	10	0.5	0.37
2.5	25	0.5	0.59
2.5	25	0.5	0.31
5	0	0.5	0.77
5	0	0.5	0.6
5	5	0.5	0.27
5	5	0.5	0.22
5	10	0.5	0.26
5	10	0.5	0.27
5	25	0.5	0.55
5	25	0.5	0.31
0	0	0.5	0.08
0	0	0.5	0.07
0	5	0.5	0.08
0	5	0.5	0.13
0	10	0.5	0.18
0	10	0.5	0.16
0	25	0.5	0.24
0	25	0.5	0.24
1	0	0.5	0.1
1	0	0.5	0.09
1	5	0.5	0.16
1	5	0.5	0.18
1	10	0.5	0.27
1	10	0.5	0.21
1	25	0.5	0.22
1	25	0.5	0.27
2.5	0	0.5	0.19
2.5	0	0.5	0.23
2.5	5	0.5	0.23
2.5	5	0.5	0.25
2.5	10	0.5	0.26
2.5	10	0.5	0.23
2.5	25	0.5	0.29
2.5	25	0.5	0.25
5	0	0.5	0.5
5	0	0.5	0.44
5	5	0.5	0.22
5	5	0.5	0.21
5	10	0.5	0.29
5	10	0.5	0.16
5	25	0.5	0.31
5	25	0.5	0.2
0	0	1	0.1
0	0	1	0.12
0	5	1	0.14
0	5	1	0.2
0	10	1	0.46
0	10	1	0.29
0	25	1	0.65
0	25	1	0.48
1	0	1	0.1
1	0	1	0.16
1	5	1	0.41
1	5	1	0.29
1	10	1	0.57
1	10	1	0.3
1	25	1	0.58
1	25	1	0.42
2.5	0	1	0.64
2.5	0	1	0.23
2.5	5	1	0.62
2.5	5	1	0.3
2.5	10	1	0.43
2.5	10	1	0.43
2.5	25	1	0.65
2.5	25	1	0.35
5	0	1	0.78
5	0	1	0.57
5	5	1	0.3
5	5	1	0.27
5	10	1	0.33
5	10	1	0.31
5	25	1	0.6
5	25	1	0.41
0	0	1	0.09
0	0	1	0.08
0	5	1	0.1
0	5	1	0.14
0	10	1	0.21
0	10	1	0.19
0	25	1	0.34
0	25	1	0.31
1	0	1	0.11
1	0	1	0.11
1	5	1	0.16
1	5	1	0.19
1	10	1	0.29
1	10	1	0.24
1	25	1	0.3
1	25	1	0.36
2.5	0	1	0.19
2.5	0	1	0.28
2.5	5	1	0.24
2.5	5	1	0.28
2.5	10	1	0.31
2.5	10	1	0.29
2.5	25	1	0.36
2.5	25	1	0.36
5	0	1	0.49
5	0	1	0.62
5	5	1	0.24
5	5	1	0.26
5	10	1	0.33
5	10	1	0.22
5	25	1	0.35
5	25	1	0.31
0	0	2	0.1
0	0	2	0.15
0	5	2	0.13
0	5	2	0.21
0	10	2	0.44
0	10	2	0.32
0	25	2	0.66
0	25	2	0.52
1	0	2	0.11
1	0	2	0.19
1	5	2	0.42
1	5	2	0.3
1	10	2	0.6
1	10	2	0.35
1	25	2	0.53
1	25	2	0.75
2.5	0	2	0.33
2.5	0	2	0.28
2.5	5	2	0.66
2.5	5	2	0.35
2.5	10	2	0.49
2.5	10	2	0.47
2.5	25	2	0.67
2.5	25	2	0.46
5	0	2	0.73
5	0	2	0.73
5	5	2	0.36
5	5	2	0.32
5	10	2	0.39
5	10	2	0.36
5	25	2	0.66
5	25	2	0.58
0	0	2	0.09
0	0	2	0.1
0	5	2	0.1
0	5	2	0.15
0	10	2	0.22
0	10	2	0.22
0	25	2	0.37
0	25	2	0.36
1	0	2	0.12
1	0	2	0.12
1	5	2	0.2
1	5	2	0.21
1	10	2	0.32
1	10	2	0.27
1	25	2	0.44
1	25	2	0.43
2.5	0	2	0.21
2.5	0	2	0.29
2.5	5	2	0.27
2.5	5	2	0.3
2.5	10	2	0.34
2.5	10	2	0.34
2.5	25	2	0.54
2.5	25	2	0.4
5	0	2	0.6
5	0	2	0.62
5	5	2	0.28
5	5	2	0.27
5	10	2	0.37
5	10	2	0.27
5	25	2	0.53
5	25	2	0.41
0	0	3	0.12
0	0	3	0.13
0	5	3	0.12
0	5	3	0.14
0	10	3	0.46
0	10	3	0.34
0	25	3	0.7
0	25	3	0.55
1	0	3	0.11
1	0	3	0.21
1	5	3	0.46
1	5	3	0.21
1	10	3	0.63
1	10	3	0.29
1	25	3	0.67
1	25	3	0.72
2.5	0	3	0.34
2.5	0	3	0.23
2.5	5	3	0.7
2.5	5	3	0.3
2.5	10	3	0.58
2.5	10	3	0.4
2.5	25	3	0.67
2.5	25	3	0.45
5	0	3	0.76
5	0	3	0.79
5	5	3	0.41
5	5	3	0.28
5	10	3	0.47
5	10	3	0.31
5	25	3	0.66
5	25	3	0.67
0	0	3	0.1
0	0	3	0.11
0	5	3	0.12
0	5	3	0.16
0	10	3	0.22
0	10	3	0.23
0	25	3	0.41
0	25	3	0.41
1	0	3	0.13
1	0	3	0.13
1	5	3	0.18
1	5	3	0.21
1	10	3	0.32
1	10	3	0.27
1	25	3	0.56
1	25	3	0.55
2.5	0	3	0.2
2.5	0	3	0.31
2.5	5	3	0.31
2.5	5	3	0.32
2.5	10	3	0.36
2.5	10	3	0.34
2.5	25	3	0.72
2.5	25	3	0.48
5	0	3	0.71
5	0	3	0.73
5	5	3	0.33
5	5	3	0.32
5	10	3	0.4
5	10	3	0.29
5	25	3	0.66
5	25	3	0.57
