'Tick','SD','Days','Response'
5,4.83,11,1.55
1,5.8,1,0.72
2,5.8,1,0.89
3,5.8,1,0.97
4,5.8,1,0.85
5,5.8,1,0.71
1,5.8,2,0.79
2,5.8,2,0.94
3,5.8,2,0.99
4,5.8,2,0.88
5,5.8,2,0.78
1,5.8,3,0.83
2,5.8,3,1.01
3,5.8,3,1.07
4,5.8,3,0.97
5,5.8,3,0.82
1,5.8,4,0.94
2,5.8,4,1.21
3,5.8,4,1.09
4,5.8,4,1.05
5,5.8,4,0.91
1,5.8,5,0.98
2,5.8,5,1.27
3,5.8,5,1.21
4,5.8,5,1.09
5,5.8,5,0.94
1,5.8,6,1.09
2,5.8,6,1.4
3,5.8,6,1.31
4,5.8,6,1.17
5,5.8,6,1.11
1,5.8,7,1.12
2,5.8,7,1.44
3,5.8,7,1.37
4,5.8,7,1.24
5,5.8,7,1.19
1,5.8,8,1.21
2,5.8,8,1.49
3,5.8,8,1.44
4,5.8,8,1.29
5,5.8,8,1.23
1,5.8,9,1.28
2,5.8,9,1.49
3,5.8,9,1.54
4,5.8,9,1.3
5,5.8,9,1.29
1,5.8,10,1.34
2,5.8,10,1.58
3,5.8,10,1.61
4,5.8,10,1.23
5,5.8,10,1.33
1,5.8,11,1.41
2,5.8,11,1.63
3,5.8,11,1.73
4,5.8,11,1.51
5,5.8,11,1.43
1,8.88,1,0.93
2,8.88,1,1.09
3,8.88,1,1.19
4,8.88,1,1.05
5,8.88,1,1.01
1,8.88,2,0.99
2,8.88,2,1.14
3,8.88,2,1.2
4,8.88,2,1.08
5,8.88,2,1.09
1,8.88,3,1.03
2,8.88,3,1.21
3,8.88,3,1.07
4,8.88,3,1.17
5,8.88,3,1.18
1,8.88,4,1.14
2,8.88,4,1.41
3,8.88,4,1.29
4,8.88,4,1.25
5,8.88,4,1.21
1,8.88,5,1.18
2,8.88,5,1.47
3,8.88,5,1.31
4,8.88,5,1.29
5,8.88,5,1.29
1,8.88,6,1.29
2,8.88,6,1.55
3,8.88,6,1.5
4,8.88,6,1.37
5,8.88,6,1.31
1,8.88,7,1.33
2,8.88,7,1.64
3,8.88,7,1.57
4,8.88,7,1.44
5,8.88,7,1.39
1,8.88,8,1.36
2,8.88,8,1.69
3,8.88,8,1.64
4,8.88,8,1.49
5,8.88,8,1.43
1,8.88,9,1.38
2,8.88,9,1.71
3,8.88,9,1.74
4,8.88,9,1.5
5,8.88,9,1.49
1,8.88,10,1.54
2,8.88,10,1.78
3,8.88,10,1.81
4,8.88,10,1.53
5,8.88,10,1.53
1,8.88,11,1.62
2,8.88,11,1.83
3,8.88,11,1.93
4,8.88,11,1.71
5,8.88,11,1.63
1,13.38,1,1.05
2,13.38,1,1.29
3,13.38,1,1.38
4,13.38,1,1.23
5,13.38,1,1.23
1,13.38,2,1.09
2,13.38,2,1.34
3,13.38,2,1.4
4,13.38,2,1.28
5,13.38,2,1.29
1,13.38,3,1.13
2,13.38,3,1.41
3,13.38,3,1.47
4,13.38,3,1.37
5,13.38,3,1.38
1,13.38,4,1.24
2,13.38,4,1.51
3,13.38,4,1.49
4,13.38,4,1.45
5,13.38,4,1.41
1,13.38,5,1.28
2,13.38,5,1.57
3,13.38,5,1.51
4,13.38,5,1.49
5,13.38,5,1.49
1,13.38,6,1.39
2,13.38,6,1.65
3,13.38,6,1.6
4,13.38,6,1.57
5,13.38,6,1.52
1,13.38,7,1.43
2,13.38,7,1.74
3,13.38,7,1.69
4,13.38,7,1.64
5,13.38,7,1.48
1,13.38,8,1.56
2,13.38,8,1.79
3,13.38,8,1.74
4,13.38,8,1.69
5,13.38,8,1.53
1,13.38,9,1.68
2,13.38,9,1.83
3,13.38,9,1.79
4,13.38,9,1.7
5,13.38,9,1.59
1,13.38,10,1.74
2,13.38,10,1.88
3,13.38,10,1.87
4,13.38,10,1.73
5,13.38,10,1.63
1,13.38,11,1.82
2,13.38,11,1.93
3,13.38,11,2.03
4,13.38,11,1.81
5,13.38,11,1.78
