'Treatment','Tract','D. spicata','Dates'
'Control',15,41,7/1/1994
'Control',15,48,10/1/1994
'Control',15,52,1/1/1995
'Control',16,11,10/1/1992
'Control',16,23,7/1/1993
'Control',16,27,10/1/1993
'Control',16,31,1/1/1994
'Control',16,17,4/1/1994
'Control',16,19,7/1/1994
'Control',16,24,10/1/1994
'Control',16,29,1/1/1995
'Control',17,41,10/1/1992
'Control',17,45,7/1/1993
'Control',17,42,10/1/1993
'Control',17,44,1/1/1994
'Control',17,41,4/1/1994
'Control',17,33,7/1/1994
'Control',17,31,10/1/1994
'Control',17,42,1/1/1995
'Control',18,50,10/1/1992
'Control',18,52,7/1/1993
'Control',18,55,10/1/1993
'Control',18,53,1/1/1994
'Control',18,45,4/1/1994
'Control',18,42,7/1/1994
'Control',18,35,10/1/1994
'Control',18,51,1/1/1995
'Control',19,8,10/1/1992
'Control',19,8,7/1/1993
'Control',19,7,10/1/1993
'Control',19,12,1/1/1994
'Control',19,6,4/1/1994
'Control',19,5,7/1/1994
'Control',19,8,10/1/1994
'Control',19,10,1/1/1995
'Control',20,0,10/1/1992
'Control',20,0,7/1/1993
'Control',20,0,10/1/1993
'Control',20,1,1/1/1994
'Control',20,0,4/1/1994
'Control',20,0,7/1/1994
'Control',20,0,10/1/1994
'Control',20,0,1/1/1995
